Task: A2 - Clerks by Order Key (Reduce-side Join)
Date: 1996-01-01
Format: TXT
Duration: 18.07s
Total Pairs: 262

First 20 (o_clerk, o_orderkey):

Clerk#000000005,473858
Clerk#000000007,591104
Clerk#000000007,312610
Clerk#000000021,58247
Clerk#000000027,573478
Clerk#000000030,343043
Clerk#000000033,480613
Clerk#000000033,307783
Clerk#000000043,235043
Clerk#000000050,18372
Clerk#000000050,438982
Clerk#000000050,237415
Clerk#000000059,138789
Clerk#000000059,161221
Clerk#000000063,473351
Clerk#000000081,501218
Clerk#000000082,221441
Clerk#000000087,151330
Clerk#000000089,56484
Clerk#000000092,213511
